"lipid","log2FC","minus_log10_pvalue"
"PI(38:6)",0.0767554243753494,0.0486624812040823
"PI(38:6)",2.24722706125748,1.14813039927023
"PC(39:4)",-0.473468203504286,0.349692476868064
"PC(O-40:4)",-0.463444667578358,0.293282217663241
"PC(O-40:4)",-0.514167234570998,0.366531544420413
"PC(O-40:4)",-0.812943048524495,0.430626090384954
"PI(38:5)",1.79777202773014,1.81247927916354
"SM(43:3)",0.705307200178225,0.406713932979543
"PC(39:3)",-0.388941552072257,0.368556230986828
"PC(O-40:3)",-1.02909481628286,0.600326278518962
"PC(O-40:3)",-0.44169043588699,0.192464971931147
"HexCer(43:1)",-0.30884311131291,0.171984935776023
"PI(38:4)",-0.00300954565150491,0.00261361560268669
"SM(43:2)",1.11019357708939,0.653647025549361
"PC(40:9)",1.1229667513767,1.05109823902979
"PC(38:3)",-0.319378544155974,0.35261702988538
"PC(39:2)",-0.527121253863388,0.286509456906058
"PC(O-40:2)",-0.775457910609688,0.380906669373257
"HexCer(42:1)",-1.20630851679816,0.838631997765025
"FA(17:1)",1.33234501796704,1.24184537803261
"DGGA(44:12)",3.2356844617084,1.37571790416433
"PI(38:3)",-0.661100209321642,0.528708288941061
"SM(43:1)",0.899832814420911,0.756961951313706
"PC(40:8)",0.945318488931438,0.872895201635192
"PC(O-40:1)",-0.733445593636247,0.322393047279507
"PI(38:2)",-0.148670051698769,0.166215625343521
"SM(42:1)",0.300520118774521,0.157390760389438
"PC(40:7)",1.29615997428699,1.40230481407449
"PC(40:7)",0.523260278131485,0.694648630553376
"PC(40:7)",0.254455243260335,0.220403508742175
"HexCer(41:0)",-1.52314129090777,1.12551818230053
"SM(42:0)",0.445371394382263,0.317854923626168
"PC(40:6)",0.33945789238242,0.299296282854981
"SM(44:5)",1.51830564025422,0.555955204081924
"PC(40:5)",0.478899395871611,0.385102783966865
"PI(39:6)",-0.118693258449206,0.0604807473813815
"PI(O-40:6)",-0.445652875037656,0.193141970481183
"PC(40:4)",-0.618006550930925,0.549750891680639
"PC(40:4)",0.397784241602082,0.46344155742847
"PC(40:4)",0.481143558116599,0.42712839779952
"SM(44:3)",1.25525371718066,0.860120913598763
"PC(40:3)",0.0241629635445229,0.0114410431213845
"SM(44:2)",1.14177093729824,0.906578314837765
"PC(40:2)",-0.723016389444869,0.421360790031928
"PI(38:4)",0.622852988029276,0.339134521996131
