"lipid","log2FC","lipid_class","minus_log10_pvalue"
"PI(38:6)",0.0767554243753494,"non-sig",0.0486624812040823
"PI(38:6)",2.24722706125748,"non-sig",1.14813039927023
"PC(39:4)",-0.473468203504286,"non-sig",0.349692476868064
"PC(O-40:4)",-0.463444667578358,"non-sig",0.293282217663241
"PC(O-40:4)",-0.514167234570998,"non-sig",0.366531544420413
"PC(O-40:4)",-0.812943048524495,"non-sig",0.430626090384954
"PI(38:5)",1.79777202773014,"PI",1.81247927916354
"SM(43:3)",0.705307200178225,"non-sig",0.406713932979543
"PC(39:3)",-0.388941552072257,"non-sig",0.368556230986828
"PC(O-40:3)",-1.02909481628286,"non-sig",0.600326278518962
"PC(O-40:3)",-0.44169043588699,"non-sig",0.192464971931147
"HexCer(43:1)",-0.30884311131291,"non-sig",0.171984935776023
"PI(38:4)",-0.00300954565150491,"non-sig",0.00261361560268669
"SM(43:2)",1.11019357708939,"non-sig",0.653647025549361
"PC(40:9)",1.1229667513767,"non-sig",1.05109823902979
"PC(38:3)",-0.319378544155974,"non-sig",0.35261702988538
"PC(39:2)",-0.527121253863388,"non-sig",0.286509456906058
"PC(O-40:2)",-0.775457910609688,"non-sig",0.380906669373257
"HexCer(42:1)",-1.20630851679816,"non-sig",0.838631997765025
"FA(17:1)",1.33234501796704,"non-sig",1.24184537803261
"DGGA(44:12)",3.2356844617084,"Other",1.37571790416433
"PI(38:3)",-0.661100209321642,"non-sig",0.528708288941061
"SM(43:1)",0.899832814420911,"non-sig",0.756961951313706
"PC(40:8)",0.945318488931438,"non-sig",0.872895201635192
"PC(O-40:1)",-0.733445593636247,"non-sig",0.322393047279507
"PI(38:2)",-0.148670051698769,"non-sig",0.166215625343521
"SM(42:1)",0.300520118774521,"non-sig",0.157390760389438
"PC(40:7)",1.29615997428699,"PC",1.40230481407449
"PC(40:7)",0.523260278131485,"non-sig",0.694648630553376
"PC(40:7)",0.254455243260335,"non-sig",0.220403508742175
"HexCer(41:0)",-1.52314129090777,"non-sig",1.12551818230053
"SM(42:0)",0.445371394382263,"non-sig",0.317854923626168
"PC(40:6)",0.33945789238242,"non-sig",0.299296282854981
"SM(44:5)",1.51830564025422,"non-sig",0.555955204081924
"PC(40:5)",0.478899395871611,"non-sig",0.385102783966865
"PI(39:6)",-0.118693258449206,"non-sig",0.0604807473813815
"PI(O-40:6)",-0.445652875037656,"non-sig",0.193141970481183
"PC(40:4)",-0.618006550930925,"non-sig",0.549750891680639
"PC(40:4)",0.397784241602082,"non-sig",0.46344155742847
"PC(40:4)",0.481143558116599,"non-sig",0.42712839779952
"SM(44:3)",1.25525371718066,"non-sig",0.860120913598763
"PC(40:3)",0.0241629635445229,"non-sig",0.0114410431213845
"SM(44:2)",1.14177093729824,"non-sig",0.906578314837765
"PC(40:2)",-0.723016389444869,"non-sig",0.421360790031928
"PI(38:4)",0.622852988029276,"non-sig",0.339134521996131
"SM(44:1)",0.744576915107608,"non-sig",0.555955204081924
"FA(17:0)",0.868375577132042,"non-sig",0.87942606879415
"HexCer(42:1)",-1.52933281868491,"non-sig",0.876148359032914
"PC(O-42:7)",-0.369911644902956,"non-sig",0.191789027075778
"PC(40:0)",-0.440074161406443,"non-sig",0.278189384787453
"HexCer(42:0)",-1.59620254204806,"non-sig",1.19791074211827
"PI(40:8)",1.36390056173619,"non-sig",1.02410886359821
"PC(41:6)",0.267575605503747,"non-sig",0.220403508742175
"PC(O-42:6)",-0.707129995031828,"non-sig",0.393618634889395
"PC(O-42:6)",-0.29078475533402,"non-sig",0.20551195334083
"PI(40:7)",1.71561452993188,"PI",1.53313237964589
"PC(O-42:5)",-0.620127774582247,"non-sig",0.349692476868064
"PI(40:6)",-0.312902996643267,"non-sig",0.187755303199631
"SHexCer(43:6)",0.359553870864257,"non-sig",0.308918507877032
"PC(O-42:4)",-0.736859303117448,"non-sig",0.336299074610352
"PI(40:5)",-0.870669647907086,"non-sig",0.677780705266081
"PI(40:5)",0.181252108811563,"non-sig",0.198596289982645
"PC(42:10)",-0.194545407870411,"non-sig",0.178486471595227
"PC(O-42:3)",-0.591038054562734,"non-sig",0.287350298372789
"PI(40:4)",0.2255476262252,"non-sig",0.139661993429006
"PI(40:4)",-0.243673775428665,"non-sig",0.219682687859849
"PC(42:9)",0.771092590567442,"non-sig",0.812479279163537
"PC(41:2)",-0.937829322818214,"non-sig",0.609064892896621
"PC(O-42:2)",-0.522411800486822,"non-sig",0.24184537803261
"PC(42:8)",1.57698136521679,"PC",1.41116827440579
"FA(16:0)",0.888200642981328,"non-sig",0.701146923590293
"Hex2Cer(34:2)",0.1325928795614,"non-sig",0.0486624812040823
"PC(42:7)",0.785835750781427,"non-sig",0.730487055782084
"PC(42:6)",0.0562426654117019,"non-sig",0.0268721464003014
"PC(42:5)",0.733684898679414,"non-sig",0.462180904926726
"DLCL(36:4)",2.49164874914365,"Other",1.49214412830417
"PC(42:4)",-0.813377661378293,"non-sig",0.562249437179612
"PC(42:4)",0.194113925261906,"non-sig",0.0996328713435297
"DLCL(36:3)",1.31342999582569,"non-sig",0.943095148663527
"PC(42:3)",-0.211740225474816,"non-sig",0.118615343229427
"PC(42:2)",-0.517709325467983,"non-sig",0.304518323509803
"PC(O-44:8)",-0.501624306081187,"non-sig",0.257274868695302
"PC(42:1)",0.0862964188161932,"non-sig",0.0501222959631252
"PC(O-44:7)",-0.529348824841527,"non-sig",0.30715308072277
"PC(O-44:6)",-0.255673046443565,"non-sig",0.151810883008601
"PC(O-44:6)",-0.347344281212955,"non-sig",0.133712660915805
"PC(O-44:5)",-0.470084737797531,"non-sig",0.255707016877324
"PC(O-44:4)",-0.447302062086482,"non-sig",0.188424994129407
"FA(18:4)",0.446831792911954,"non-sig",0.408935392973501
"PC(44:6)",-0.803280731796818,"non-sig",0.438898616350944
"PC(44:6)",-0.0238534797803389,"non-sig",0.0118871597316481
"FA(18:3)",-0.0240328843043969,"non-sig",0.0154726866562074
"PC(44:5)",-0.347232364553342,"non-sig",0.247951552180562
"PC(44:4)",-0.508180672634001,"non-sig",0.341988603342888
"PC(44:2)",-1.12264167149394,"non-sig",0.835647144215563
"FA(18:2)",0.7898224739474,"non-sig",0.97469413473523
