"lipid_name","log_2_foldchange","neg_log10_p_value","lipid_class"
"ST(18:1)",-0.129305492277798,0.202732459169284,"non-sig"
"ST(18:2)",-0.2427955145411,2.12033079436795,"ST"
"ST(18:3)",-0.694213799714987,0.863279432843593,"non-sig"
"ST(20:4)",-0.387109136116123,1.88605664769316,"ST"
"ST(22:5)",-0.245210174788667,0.337242168318426,"non-sig"
"ST(22:6)",-0.596914118921685,1.8153085691824,"ST"
"CER(32:1;O2)",-2.23655072965633,1.88272870434424,"CER"
"CER(33:1;O2)",-1.76301392721343,2.20971483596676,"CER"
"CER(34:0;O3)",-1.57929527779841,1.46470587995723,"CER"
"CER(34:1;O2)",-1.9098885049505,1.70114692359029,"CER"
"CER(34:2;O2)",-1.67114007376874,1.73754891026957,"CER"
"CER(36:1;O2)",-3.56953664995999,1.65364702554936,"CER"
"CER(37:1;O2)",-3.49053216670936,1.38090666937326,"CER"
"CER(38:0;O3)",-1.95683424509105,1.31515463835559,"CER"
"CER(38:1;O2)",-3.45784068077873,1.38615817812393,"CER"
"CER(39:0;O3)",-1.16587565624803,0.744727494896694,"non-sig"
"CER(39:1;O2)",-2.59364578066751,1.28232949699774,"non-sig"
"CER(40:0;O3)",-1.77945981802921,1.32790214206428,"CER"
"CER(40:1;O2)",-2.92961936534501,1.56066730616974,"CER"
"CER(40:2;O2)",-3.16756612542537,1.58004425151024,"CER"
"CER(41:0;O2)",-3.70791825494849,1.19586056766465,"non-sig"
"CER(41:1;O2)",-2.74871337130022,1.77989191195995,"CER"
"CER(41:2;O2)",-2.86372530851645,1.89962945488244,"CER"
"CER(42:0;O3)",-1.90520574943015,1.45222529461218,"CER"
"CER(42:1;O2)",-2.68102511121347,1.69897000433602,"CER"
"CER(42:2;O2)",-2.86026531151768,1.97469413473523,"CER"
"CER(42:3;O2)",-2.65684583569629,1.64016451766011,"CER"
"CER(42:5;O2)",-2.43808157400316,1.56066730616974,"CER"
"CER(43:0;O2)",-2.32208403335119,0.924453038607469,"non-sig"
"CER(43:1;O2)",-2.40088030188095,1.61618463401957,"CER"
"CER(43:2;O2)",-2.81718236931834,1.79317412396815,"CER"
"CER(44:0;O3)",-1.52625059934438,0.943095148663527,"non-sig"
"CER(44:1;O2)",-1.74177393095421,0.958607314841775,"non-sig"
"CER(44:2;O2)",-2.63086284489337,1.41680122603138,"CER"
"CER(66:14;4O)",-0.62864273288443,0.580044251510242,"non-sig"
"CER(68:14;4O)",-0.784466881345207,0.481486060122112,"non-sig"
"CL(72:8)",0.131770939855681,0.0409586076789064,"non-sig"
"DG(34:0)",0.445049106419834,0.328827157284917,"non-sig"
"DG(34:1)",-1.3641048997774,1.60730304674033,"DG"
"DG(34:2)",-0.927792358526592,0.847711655616944,"non-sig"
"DG(34:3)",0.0279868119695585,0.0222763947111523,"non-sig"
"DG(36:1)",-1.26686245219274,1.12784372725171,"non-sig"
"DG(36:2)",-1.7487587576965,2.9100948885606,"DG"
"DG(36:3)",-1.45381433188355,1.50584540598156,"DG"
"DG(36:5)",-0.290124395064748,0.201349354554731,"non-sig"
"DG(38:2)",-1.76440053972503,2.23882418684427,"DG"
"DG(38:3)",-1.54599869534185,1.14026143380285,"non-sig"
"DG(38:6)",0.373847483251243,0.258060922270801,"non-sig"
"DG(38:7)",-0.858597569026031,0.498940737782249,"non-sig"
"DG(40:7)",-0.672598545298058,0.943095148663527,"non-sig"
"DG(40:8)",0.384203437422723,0.412289034981089,"non-sig"
"DLCL(36:3)",-0.459603300959081,0.419075024324381,"non-sig"
"DLCL(36:4)",0.0386849159164839,0.0371573187987575,"non-sig"
"FA13:1",-0.0180016969425694,0.0195421077238999,"non-sig"
"FA14:0",-1.09595865723382,2.1681302257195,"FA"
"FA14:1",-0.841862469534952,0.910094888560602,"non-sig"
"FA15:0",-0.691843348834507,1.8153085691824,"FA"
"FA15:1",-0.764659949531797,1.64206515299955,"FA"
"FA16:0",-0.6557000810751,2.19178902707578,"FA"
"FA16:1",-0.558028807501351,1.28735029837279,"non-sig"
"FA16:2",-1.0197638525102,1.61439372640169,"FA"
"FA16:3",-0.956642240604843,1.33535802444387,"FA"
"FA16:4",-0.61069458407038,0.636388020107856,"non-sig"
"FA17:0",-0.923645009771967,2.61798295742513,"FA"
"FA17:1",-0.783232576618769,2.73992861201493,"FA"
"FA17:2",-0.795091217674873,1.41907502432438,"FA"
"FA18:0",-1.35165902792765,2.96657624451305,"FA"
"FA18:1",-0.802161796714937,3.17134010346468,"FA"
"FA18:2",-0.575786540506858,2.18575240426808,"Other"
"FA18:4",-0.713943934004817,0.583359492661719,"non-sig"
"FA19:0",-1.13544388050403,2.1073489661227,"FA"
"FA19:1",-1.09845750443765,3.09745322068601,"FA"
"FA19:2",-0.803283671199711,1.42021640338319,"FA"
"FA19:3",0.0547426539821529,0.0555173278498314,"non-sig"
"FA20:0",-1.47524938826528,2.10846254232744,"FA"
"FA20:1",-1.76822881352022,2.77469071827414,"FA"
"FA20:2",-0.59421315016807,2.14146280243036,"FA"
