"lipid","T_stat_human","T_stat_mouse"
"CER(32:1;O2)",1.37079687397576,1.22550408430507
"CER(33:1;O2)",-0.120477651180498,0.387431032954286
"CER(34:0;O2)",3.43289251241977,-0.659919796169497
"CER(34:0;O3)",-1.54040572837094,-2.35964958490956
"CER(34:1;O2)",10.10618909233,-0.999831096174054
"CER(34:2;O2)",4.63231539848333,2.88482671371148
"CER(36:1;O2)",8.64223226624244,1.46233162062403
"CER(37:1;O2)",4.88076849806021,0.95354871933455
"CER(38:0;O2)",-2.11549262231431,0.959307439779015
"CER(38:0;O3)",2.30744322636559,-0.216881746574624
"CER(38:1;O2)",0.497002579399384,1.07115345627561
"CER(39:0;O2)",-4.26603568107512,-0.356919590311171
"CER(39:1;O2)",-3.78288504865148,-1.95834105870212
"CER(40:0;O2)",-9.49476592011658,-2.54873228226244
"CER(40:0;O3)",-2.29636915794058,-3.07440149092777
"CER(40:1;O2)",-2.69159651516137,-1.60301740005822
"CER(40:2;O2)",-0.0306820445269522,-1.47145930960468
"CER(40:3;O2)",1.33940154601573,0.920622054242682
"CER(41:0;O2)",-8.45561064162668,-5.42932559074776
"CER(41:0;O3)",-2.00265082145249,-4.02056627544476
"CER(41:1;O2)",-5.61629153850408,-2.2806280182016
"CER(41:1;O3)",3.18911170945909,-0.608534931261907
"CER(41:2;O2)",-4.00013885952643,-3.29066141520843
"CER(42:0;O2)",-10.7871672881386,-3.77506961134326
"CER(42:0;O3)",-4.37861354593401,-1.79831083960325
"CER(42:1;O2)",-6.7850140318309,-1.67034083663619
"CER(42:1;O3)",-0.808893380896912,-4.21944657267163
"CER(42:2;O2)",1.76894037750084,-2.36129959235728
"CER(42:2;O3)",-0.42888483443307,-0.260639855170291
"CER(42:3;O2)",4.78076869254959,-2.30872843654354
"CER(43:0;O2)",-7.6569276562092,-1.07532022238927
"CER(43:0;O3)",-2.1397418107355,-4.52249879247915
"CER(43:1;O2)",-2.25008535337906,-1.63467389482596
"CER(43:2;O2)",-3.55336551915266,-1.96300379464632
"CER(44:0;O2)",-6.22524385897044,-0.0802809798354662
"CER(44:0;O3)",0.239609961926987,-0.0844800934526238
"CER(44:1;O2)",-9.89678848222537,-1.77055749126922
"CER(44:2;O2)",-2.7916391718715,1.25215634819084
"CER(46:0;O2)",-1.01467023608897,-0.262343371298477
"CER(46:0;O3)",-0.252559453485803,0.635729223771889
"DG(34:0)",-0.643409707518218,-0.98894290495196
"DG(34:1)",1.62419002056602,-2.19936135795022
"DG(34:2)",1.84554043371951,-1.6643740130389
"DG(34:3)",-1.83343169870648,-0.459709556137611
"DG(34:4)",-4.01838920699286,0.454891862820135
"DG(35:2)",-0.960853099765618,-2.12871924404905
"DG(36:1)",0.846020241136176,-1.97511617903893
"DG(36:2)",1.4267023387639,-2.88988832397022
"DG(36:3)",2.26362028884575,-2.25905584517185
"DG(36:4)",1.8739174228236,-1.27664843017711
"DG(36:5)",-1.71723685348647,-1.15682313724902
"DG(38:2)",0.0529129592896916,-2.24942518544492
"DG(38:3)",0.460229269391534,-1.98848491187639
"DG(38:4)",0.311708436149916,-1.84455069723902
"DG(38:5)",1.2853250756278,-0.886972686302767
"DG(38:6)",1.05387348166163,1.4751273669786
"DG(38:7)",-0.892905565332056,0.592965411375017
"DG(40:5)",1.31833713126832,-1.6890776478884
"DG(40:6)",1.48043865022153,-3.87492041712856
"DG(40:7)",1.86783761466769,-0.523919285580832
"DG(40:8)",2.31263376139584,2.99750104428585
"DG(42:10)",0.822883723751992,-0.302912657319892
"DG(42:8)",-1.69338800468135,-0.602685679550144
"DG(44:12)",-0.820082950633185,1.84294511110007
"DG(O-34:0)",-2.8887930094639,-4.24460478239293
"DG(O-36:0)",-4.07581552130589,-1.49738379594649
"DG(O-36:1)",-1.63711567842309,-3.66297206859655
"DG(O-38:1)",-1.53331369635115,-2.59218186096204
"DG(O-40:3)",0.935062885899938,-2.87897802067083
"DG(O-42:2)",-0.578648273822299,0.98284821295184
"DG(O-42:3)",-1.68304578334175,0.920870473714329
"FA13:1",-0.386181908955092,2.09570280020758
"FA14:0",-0.154463515019203,0.773634204201123
"FA14:1",-3.45676402587882,4.22596058976668
"FA15:0",-0.867975540552079,1.50540773214587
"FA15:1",-1.7477000274843,-0.496129748886086
"FA16:0",1.33090342706389,1.94193563152355
"FA16:1",4.99450298124442,2.36127022877425
"FA17:0",3.24596547847519,1.85740675741537
"FA17:1",2.14038993967988,2.65599141281009
"FA18:0",2.98754923901142,1.53577122113055
"FA18:1",7.89382416375132,2.45432247910351
"FA18:2",5.18072821643179,2.03163609533509
"FA18:3",-0.220564801960972,-0.0460881410003059
"FA19:0",3.01518374126036,1.36334883433565
"FA19:1",2.31099343679273,3.13073271486936
"FA20:0",-2.72672077299416,0.654373471059203
"FA20:1",1.87967111241346,1.81067093634598
"FA20:2",1.10053412928142,2.76203992741672
"FA20:3",-0.611275460973376,1.84082826816185
"FA20:4",-0.408137435628833,1.60048118396396
"FA20:5",1.78687685212573,2.13850314069572
"FA21:0",3.28327696234739,-0.161063267672311
"FA21:1",-1.4569842501657,1.68598123070105
"FA22:0",1.34705038470849,-0.69033972506309
"FA22:1",0.804227641088728,1.31632284492275
"FA22:3",-0.868380228895306,2.03380696286175
"FA22:4",0.579330007003163,2.66249066488791
"FA22:5",2.36905402798755,3.04071552545147
"FA22:6",0.426661698119853,2.56449492287968
"FA23:0",-1.97808425590232,-1.01083013814118
"FA24:0",-0.297344821658045,-0.813186055486098
"FA24:1",3.81733281003451,1.080183157856
"FA25:0",-3.70720328388498,-1.35613393404595
"FA25:1",-3.21388854539325,0.416746815754298
"FA26:0",-3.42705812507361,-1.32116697600954
"FA26:1",-4.5275396350924,0.419023910601182
"FA28:0",-1.04525019094129,-1.62915694793324
"HEX2CER(34:2;O2)",0.377624812734494,-1.55184240227098
"HEX2CER(42:1;O2)",-5.04825496243189,1.85956977831818
"HEX2CER(42:2;O2)",-2.39067442283174,1.77224883582795
"HEX3CER(34:1;O2)",-1.44778152820489,0.425161705044927
"HEXCER(33:1;O2)",-2.11671821589412,0.745545760376398
"HEXCER(34:0;O2)",0.281964318038308,-1.39428618009443
"HEXCER(34:1;O2)",2.62266970676825,1.14061329000825
"HEXCER(34:1;O3)",-5.32864742549621,-4.68365808678299
"HEXCER(34:2;O2)",-1.15961753667891,-9.99242846199773
"HEXCER(36:1;O2)",-0.314438496257681,1.01153773013323
"HEXCER(38:0;O2)",2.93891849783249,-0.452983044873828
"HEXCER(38:1;O2)",-5.99358340686351,-1.2333457270364
"HEXCER(39:1;O2)",-8.11574934950888,-2.52201032258196
"HEXCER(40:0;O2)",-8.8019602580087,-1.90287227386623
"HEXCER(40:1;O2)",-6.24273697899497,-2.18634158610264
"HEXCER(40:2;O2)",-5.91534816896726,-2.06509207790744
"HEXCER(41:1;O2)",-4.65873626385555,-3.35230517407177
"HEXCER(41:2;O2)",-5.35797442018263,-2.95047740953479
"HEXCER(42:0;O2)",-4.73657305991251,-2.22547330846665
"HEXCER(42:1;O2)",-6.44244454092076,-2.80013349574328
"HEXCER(42:1;O3)",-1.43795732243438,-1.73281599747187
"HEXCER(42:2;O2)",-1.36463550992233,-2.56267389451111
"HEXCER(42:3;O2)",-1.810932135903,-1.78546173884308
"HEXCER(42:4;O2)",3.49814481431252,1.43966684469947
"HEXCER(43:1;O2)",-5.80688676715063,-3.58587813649529
"LPC(14:0)",1.82844038593363,-3.22225851470482
"LPC(14:1)",-3.74020606224973,-0.996213111088862
"LPC(15:0)",-9.88027394396044,-3.10202784009097
"LPC(15:1)",-0.88933898186643,-5.25444508628252
"LPC(16:0)",-6.31944203785611,-3.10263369011013
"LPC(16:1)",-4.13689815394065,-2.32883963586571
"LPC(16:2)",-4.23164136662581,-1.41674666543213
"LPC(17:0)",-9.23348598542005,-4.05672816005705
"LPC(17:1)",-7.12740399513648,-3.36974899486318
"LPC(17:2)",2.91294710848074,-3.6211931782282
"LPC(18:0)",-8.91397866137697,-3.29590569515995
"LPC(18:1)",-1.44135479157184,-3.8082891727788
"LPC(18:2)",-7.4720996748077,-3.86757701939987
"LPC(18:3)",-3.9729845769877,-3.40586797588166
"LPC(18:4)",-4.8365063288184,-2.89428844203775
"LPC(19:0)",-10.7239302144094,-5.11440135400257
"LPC(19:1)",-6.10849317802576,-4.8175589065576
"LPC(20:0)",-10.3899826653971,-3.84767689364279
"LPC(20:1)",-5.35455806678417,-6.80774520277245
"LPC(20:2)",-4.85162006581773,-7.80781479779221
"LPC(20:3)",-2.65466323286267,-8.1544287913275
"LPC(20:4)",-2.68256991636052,-4.22754464608128
"LPC(20:5)",-3.74386679257475,-4.8191841303629
"LPC(21:0)",-7.26711731072032,-3.30464405038288
"LPC(21:1)",1.46746743154754,-5.04421557048323
"LPC(22:0)",-9.80726352242931,-2.83921095886138
"LPC(22:1)",-4.06211432587689,-4.33641204889372
"LPC(22:2)",-3.15965888130759,-4.67598010558859
"LPC(22:3)",-2.81007325890916,-6.93348856242741
"LPC(22:4)",-3.19428058333612,-6.17238044854652
"LPC(22:5)",-2.64736361176669,-5.59844794877003
"LPC(22:6)",-1.86613976552475,-5.13315495245147
"LPC(23:0)",1.12550749218566,-2.57580209160956
"LPC(23:1)",-2.0634541969414,-3.42491079079797
"LPC(24:0)",-9.71160548853987,-2.43250114820798
"LPC(24:1)",-8.40444805446504,-3.04354582164283
"LPC(24:2)",-3.01701163067944,-2.6859029508587
"LPC(24:3)",-1.34850008418925,-3.57097483849792
"LPC(24:5)",-4.01338505020056,-5.20807821028377
"LPC(24:6)",-6.37189887001976,-6.27810343660549
"LPC(25:0)",-10.5282894404655,-1.9675940136197
"LPC(25:1)",1.45214701323012,-2.75387234636527
"LPC(26:0)",-9.03338156158173,-2.14193086087799
"LPC(26:1)",-9.23645038225656,-2.65384573032725
"LPC(26:2)",-5.96546651560728,-2.72276229432369
"LPC(26:4)",-8.33309355559702,-4.07198035155089
"LPC(O-14:0)",-6.6872127420293,-1.84417757674627
"LPC(O-15:0)",-9.3050529818014,-2.39384550490077
